Commentary,MatchReport
"First Half begins. Foul by Dominic Calvert-Lewin (Everton). Gabriel Magalhães (Arsenal) wins a free kick in the defensive half. Myles Lewis-Skelly (Arsenal) wins a free kick in the attacking half. Foul by Idrissa Gueye (Everton). Attempt blocked. Abdoulaye Doucouré (Everton) left footed shot from the left side of the box is blocked. Assisted by Orel Mangala. Corner, Everton. Conceded by Gabriel Magalhães. Attempt blocked. Gabriel Martinelli (Arsenal) left footed shot from the left side of the box is blocked. Assisted by Gabriel Magalhães. Corner, Arsenal. Conceded by James Tarkowski. Attempt missed. Martin Ødegaard (Arsenal) left footed shot from the centre of the box is too high. Assisted by Mikel Merino with a cross. Attempt missed. Martin Ødegaard (Arsenal) left footed shot from outside the box is close, but misses to the right. Assisted by Myles Lewis-Skelly. Offside, Arsenal. Bukayo Saka is caught offside. Offside, Arsenal. Gabriel Martinelli is caught offside. Attempt blocked. Bukayo Saka (Arsenal) left footed shot from the centre of the box is blocked. Assisted by Declan Rice. Corner, Arsenal. Conceded by Jarrad Branthwaite. Bukayo Saka (Arsenal) wins a free kick on the right wing. Foul by Vitalii Mykolenko (Everton). Corner, Arsenal. Conceded by James Tarkowski.","The first half saw a lot of back-and-forth play with several blocked shots and corners for both sides. Arsenal's Ødegaard had two attempts, one high and one that narrowly missed. Several offside calls disrupted Arsenal's attacking flow, and Saka won a free kick on the right wing."
"Corner, Arsenal. Conceded by Jarrad Branthwaite. Attempt saved. Martin Ødegaard (Arsenal) left footed shot from the centre of the box is saved in the bottom left corner. Assisted by Bukayo Saka. Corner, Arsenal. Conceded by Jordan Pickford. Foul by Jurriën Timber (Arsenal). Idrissa Gueye (Everton) wins a free kick in the defensive half. Offside, Everton. James Tarkowski is caught offside. Attempt saved. Gabriel Martinelli (Arsenal) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Kai Havertz. Attempt blocked. Declan Rice (Arsenal) right footed shot from outside the box is blocked. Assisted by Gabriel Martinelli.","Arsenal dominated possession with numerous attempts on goal, including shots saved by Pickford and a blocked effort by Rice. Ødegaard's left-footed shot was also saved following a corner. Everton defended resolutely, winning a free kick, and catching Tarkowski offside."
"Fourth official has announced 1 minutes of added time. First Half ends, Arsenal 0, Everton 0. Second Half begins Arsenal 0, Everton 0. Attempt saved. Bukayo Saka (Arsenal) left footed shot from the centre of the box is saved in the bottom right corner. Assisted by Mikel Merino. Corner, Arsenal. Conceded by Jordan Pickford. Attempt saved. Mikel Merino (Arsenal) header from the left side of the six yard box is saved in the top centre of the goal. Assisted by Bukayo Saka with a cross. Myles Lewis-Skelly (Arsenal) wins a free kick in the defensive half. Foul by Ashley Young (Everton). Foul by Kai Havertz (Arsenal). Idrissa Gueye (Everton) wins a free kick in the defensive half. Offside, Everton. Dominic Calvert-Lewin is caught offside. Kai Havertz (Arsenal) wins a free kick in the attacking half. Foul by James Tarkowski (Everton). Attempt blocked. Bukayo Saka (Arsenal) left footed shot from the centre of the box is blocked. Assisted by Kai Havertz. Foul by William Saliba (Arsenal). Dominic Calvert-Lewin (Everton) wins a free kick in the defensive half. Substitution Substitution Attempt saved. Kai Havertz (Arsenal) header from the centre of the box is saved in the bottom right corner. Assisted by Gabriel Martinelli with a cross. Substitution Substitution Foul by Jurriën Timber (Arsenal). Vitalii Mykolenko (Everton) wins a free kick in the defensive half. Jorginho (Arsenal) wins a free kick in the defensive half. Foul by Abdoulaye Doucouré (Everton). Substitution Substitution","The match remains goalless. Arsenal had several shots saved, including attempts from Saka and Havertz. Despite the pressure, Everton defended well, with Pickford making crucial saves. Both teams conceded fouls, with some resulting in free kicks, but the score remains unchanged throughout the second half."
"Offside, Arsenal. Bukayo Saka is caught offside. Gabriel Martinelli (Arsenal) wins a free kick on the left wing. Foul by Ashley Young (Everton). Yellow card Substitution Corner, Arsenal. Conceded by Ashley Young. Attempt missed. Gabriel Jesus (Arsenal) with an attempt from the centre of the box misses to the left. Assisted by Leandro Trossard with a cross following a corner. Bukayo Saka (Arsenal) wins a free kick on the right wing. Foul by Vitalii Mykolenko (Everton). Offside, Arsenal. Jurriën Timber is caught offside. Yellow card Gabriel Magalhães (Arsenal) wins a free kick in the defensive half. Foul by Armando Broja (Everton). Offside, Everton. Armando Broja is caught offside. Yellow card Foul by Gabriel Jesus (Arsenal). Jarrad Branthwaite (Everton) wins a free kick in the defensive half. Attempt blocked. Gabriel Jesus (Arsenal) right footed shot from the centre of the box is blocked. Assisted by Bukayo Saka with a headed pass. Corner, Arsenal. Conceded by Jarrad Branthwaite. Attempt blocked. Vitalii Mykolenko (Everton) left footed shot from outside the box is blocked. Hand ball by Jorginho (Arsenal). Fourth official has announced 4 minutes of added time. Corner, Everton. Conceded by Gabriel Magalhães. Offside, Arsenal. Leandro Trossard is caught offside. Second Half ends, Arsenal 0, Everton 0.","The first half concluded scoreless. Arsenal had several free kicks and corners, but attempts from Jesus and a blocked shot failed to find the net. Both sides saw offside calls. Yellow cards were shown to Young, Mykolenko, Magalhães, and Jesus. The fourth official added four minutes of stoppage time."
"First Half begins. Offside, Liverpool. Cody Gakpo is caught offside. Yellow card Delay in match because of an injury Andy Robertson (Liverpool). Delay over. They are ready to continue. Offside, Liverpool. Luis Díaz is caught offside. Jorge Cuenca (Fulham) wins a free kick in the defensive half. Foul by Luis Díaz (Liverpool). Yellow card Attempt blocked. Curtis Jones (Liverpool) left footed shot from the left side of the box is blocked. Foul by Andreas Pereira (Fulham). Ryan Gravenberch (Liverpool) wins a free kick in the defensive half. Yellow card GOAL! Cody Gakpo (Liverpool) wins a free kick on the left wing. Foul by Sander Berge (Fulham). Harry Wilson (Fulham) wins a free kick in the attacking half. Foul by Andy Robertson (Liverpool). Red card Attempt missed. Harry Wilson (Fulham) left footed shot from outside the box is just a bit too high from a direct free kick. Attempt blocked. Andreas Pereira (Fulham) right footed shot from outside the box is blocked. Assisted by Harry Wilson. Corner, Fulham. Conceded by Ryan Gravenberch.","The first half saw Liverpool's Cody Gakpo score a goal, and teammate Andy Robertson received a yellow card. Fulham's Harry Wilson had a free-kick attempt which went high, and Andreas Pereira's shot was blocked after a corner. Liverpool's Luis Díaz and Andy Robertson got yellow cards, while Sander Berge conceded a free kick which lead to the only goal by Liverpool."
"Corner, Fulham. Conceded by Virgil van Dijk. Luis Díaz (Liverpool) wins a free kick in the defensive half. Foul by Antonee Robinson (Fulham). Yellow card Hand ball by Luis Díaz (Liverpool). Attempt blocked. Harry Wilson (Fulham) right footed shot from the centre of the box is blocked. Assisted by Andreas Pereira. Foul by Joe Gomez (Liverpool). Kenny Tete (Fulham) wins a free kick in the defensive half. Corner, Liverpool. Conceded by Jorge Cuenca. Dangerous play by Ryan Gravenberch (Liverpool). Harry Wilson (Fulham) wins a free kick in the defensive half. Attempt blocked. Alex Iwobi (Fulham) right footed shot from the left side of the box is blocked. Assisted by Sasa Lukic. Dominik Szoboszlai (Liverpool) wins a free kick on the right wing. Foul by Sasa Lukic (Fulham). Attempt saved. Cody Gakpo (Liverpool) header from the centre of the box is saved in the centre of the goal. Assisted by Trent Alexander-Arnold with a cross. Offside, Fulham. Andreas Pereira is caught offside. Attempt missed. Luis Díaz (Liverpool) header from the centre of the box is too high. Assisted by Dominik Szoboszlai.","The match saw Liverpool win a free kick, while Luis Díaz received a yellow card for handball. Fulham had several shots blocked, with Harry Wilson and Alex Iwobi both seeing their attempts denied. A header from Cody Gakpo was saved, and another from Luis Díaz went high, with no goals scored."
"Corner, Liverpool. Conceded by Antonee Robinson. Fourth official has announced 6 minutes of added time. Attempt missed. Mohamed Salah (Liverpool) left footed shot from the centre of the box misses to the right. Attempt missed. Harry Wilson (Fulham) left footed shot from the centre of the box is high and wide to the left. Assisted by Antonee Robinson with a cross following a fast break. Dominik Szoboszlai (Liverpool) wins a free kick in the defensive half. Foul by Andreas Pereira (Fulham). First Half ends, Liverpool 0, Fulham 1. Second Half begins Liverpool 0, Fulham 1. Luis Díaz (Liverpool) wins a free kick in the attacking half. Foul by Issa Diop (Fulham). GOAL! Attempt saved. Cody Gakpo (Liverpool) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Dominik Szoboszlai. Delay in match because of an injury Kenny Tete (Fulham). Delay over. They are ready to continue. Delay in match because of an injury Kenny Tete (Fulham). Substitution Delay over. They are ready to continue. Attempt missed. Joe Gomez (Liverpool) left footed shot from the left side of the box is close, but misses to the left. Assisted by Cody Gakpo. Foul by Curtis Jones (Liverpool). Alex Iwobi (Fulham) wins a free kick in the defensive half. Yellow card Attempt missed. Harry Wilson (Fulham) left footed shot from the centre of the box misses to the left. Assisted by Antonee Robinson with a cross. Attempt blocked. Sasa Lukic (Fulham) right footed shot from outside the box is blocked. Assisted by Alex Iwobi. Corner, Fulham. Conceded by Trent Alexander-Arnold. Attempt missed. Mohamed Salah (Liverpool) left footed shot from the left side of the box is close, but misses to the left. Assisted by Dominik Szoboszlai following a fast break. Attempt missed. Sasa Lukic (Fulham) right footed shot from outside the box misses to the right. Attempt missed. Alex Iwobi (Fulham) right footed shot from outside the box is too high. Assisted by Sasa Lukic. Substitution Substitution","Fulham lead Liverpool 1-0 at half-time. The second half began with a Liverpool free kick as Fulham conceded a foul. Liverpool had a shot saved and a shot missed. Harry Wilson had a shot miss for Fulham, while Alex Iwobi got a free kick. Substitutions were made."
"Substitution Substitution Attempt missed. Mohamed Salah (Liverpool) left footed shot from the centre of the box is high and wide to the left. Assisted by Luis Díaz with a cross. GOAL! Delay in match because of an injury Alisson Becker (Liverpool). Substitution Substitution Delay over. They are ready to continue. Foul by Ryan Gravenberch (Liverpool). Rodrigo Muniz (Fulham) wins a free kick in the defensive half. Offside, Fulham. Alex Iwobi is caught offside. Attempt missed. Harvey Elliott (Liverpool) left footed shot from the right side of the box is close, but misses to the left. Darwin Núñez (Liverpool) wins a free kick in the attacking half. Foul by Sander Berge (Fulham). Yellow card Attempt missed. Darwin Núñez (Liverpool) header from the centre of the box misses to the right. Assisted by Harvey Elliott with a cross following a set piece situation. GOAL! Substitution Corner, Fulham. Conceded by Jarell Quansah. Foul by Darwin Núñez (Liverpool). Sasa Lukic (Fulham) wins a free kick in the defensive half. Yellow card Antonee Robinson (Fulham) wins a free kick in the defensive half. Foul by Diogo Jota (Liverpool). Corner, Liverpool. Conceded by Bernd Leno. Fourth official has announced 9 minutes of added time. Attempt blocked. Mohamed Salah (Liverpool) left footed shot from the right side of the box is blocked. Assisted by Harvey Elliott with a cross. Attempt blocked. Virgil van Dijk (Liverpool) left footed shot from the centre of the box is blocked. Assisted by Diogo Jota. Attempt blocked. Luis Díaz (Liverpool) left footed shot from the centre of the box is blocked. Assisted by Diogo Jota. Attempt blocked. Diogo Jota (Liverpool) right footed shot from the centre of the box is blocked. Corner, Liverpool. Conceded by Sasa Lukic. Attempt saved. Adama Traoré (Fulham) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Emile Smith Rowe. Corner, Liverpool. Conceded by Antonee Robinson. Hand ball by Mohamed Salah (Liverpool). Second Half ends, Liverpool 2, Fulham 2.","Two goals were scored, one each was scored by Liverpool and Fulham. There were multiple missed attempts and substitutions for both sides. Alisson Becker had an injury, the delay ended and they were ready to continue. Gravenberch and Nunez committed fouls and both Berge and Robinson received a yellow card. The fourth official added nine minutes of extra time. The second half ended with the score level at 2-2."
"First Half begins. Stephy Mavididi (Leicester City) wins a free kick on the left wing. Foul by Jacob Murphy (Newcastle United). Bruno Guimarães (Newcastle United) wins a free kick in the defensive half. Foul by Hamza Choudhury (Leicester City). Lewis Hall (Newcastle United) wins a free kick in the defensive half. Foul by Kasey McAteer (Leicester City). Bruno Guimarães (Newcastle United) wins a free kick in the defensive half. Foul by Jannik Vestergaard (Leicester City). Attempt saved. Anthony Gordon (Newcastle United) right footed shot from the centre of the box is saved in the top left corner. Assisted by Joelinton. Corner, Newcastle United. Conceded by Mads Hermansen. Attempt missed. Dan Burn (Newcastle United) header from the centre of the box is just a bit too high. Assisted by Anthony Gordon with a cross following a corner. Sandro Tonali (Newcastle United) wins a free kick in the defensive half. Foul by Kasey McAteer (Leicester City). Attempt missed. Bruno Guimarães (Newcastle United) header from the right side of the six yard box is too high. Assisted by Lewis Hall with a cross. Corner, Leicester City. Conceded by Joelinton. Sandro Tonali (Newcastle United) wins a free kick in the defensive half. Foul by Kasey McAteer (Leicester City). Attempt saved. Joelinton (Newcastle United) right footed shot from outside the box is saved in the bottom left corner. Assisted by Anthony Gordon. Attempt blocked. Bilal El Khannouss (Leicester City) right footed shot from outside the box is blocked. Assisted by Hamza Choudhury. Alexander Isak (Newcastle United) wins a free kick in the attacking half. Foul by Oliver Skipp (Leicester City). Yellow card Attempt blocked. Sandro Tonali (Newcastle United) right footed shot from outside the box is blocked. Attempt blocked. Dan Burn (Newcastle United) header from the centre of the box is blocked. Assisted by Jacob Murphy with a cross. Corner, Newcastle United. Conceded by Jannik Vestergaard.","The first half saw Newcastle United dominate possession, with Anthony Gordon's shot saved and Dan Burn's header narrowly missing. Newcastle continued to apply pressure with a string of corners. Kasey McAteer of Leicester City conceded multiple fouls, while Oliver Skipp received a yellow card."
"Attempt saved. Joelinton (Newcastle United) right footed shot from outside the box is saved in the top centre of the goal. Assisted by Lewis Hall. Attempt blocked. Joelinton (Newcastle United) left footed shot from the centre of the box is blocked. Assisted by Alexander Isak. Attempt missed. Jacob Murphy (Newcastle United) left footed shot from the centre of the box misses to the left. Attempt missed. Tino Livramento (Newcastle United) right footed shot from outside the box misses to the left. Assisted by Sandro Tonali. Corner, Newcastle United. Conceded by Victor Kristiansen. GOAL! Tino Livramento (Newcastle United) wins a free kick in the defensive half. Foul by Stephy Mavididi (Leicester City). Hand ball by Kasey McAteer (Leicester City). Attempt missed. Alexander Isak (Newcastle United) left footed shot from the left side of the box misses to the right. Assisted by Bruno Guimarães with a through ball. Attempt blocked. Anthony Gordon (Newcastle United) right footed shot from the left side of the box is blocked. Assisted by Lewis Hall. Foul by Jacob Murphy (Newcastle United). Bilal El Khannouss (Leicester City) wins a free kick in the defensive half. Yellow card Attempt saved. Alexander Isak (Newcastle United) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Joelinton with a through ball. Hand ball by Bruno Guimarães (Newcastle United). Foul by Bruno Guimarães (Newcastle United). Stephy Mavididi (Leicester City) wins a free kick on the right wing. Yellow card Lewis Hall (Newcastle United) wins a free kick in the defensive half. Foul by Stephy Mavididi (Leicester City).","Newcastle United saw several attempts saved and blocked, with Tino Livramento eventually scoring from a free kick. Alexander Isak had a shot saved, while Jacob Murphy and Livramento missed their attempts. Stephy Mavididi conceded a foul leading to Newcastle's goal and was shown a yellow card, as was Lewis Hall."
